|Shares|Security ID|Transaction Description|Date|Amount|Price|Transaction Code
220||53015103|CASH RECEIPT DIVIDEND EARNED ON AUTOMATIC DATA PROCESSING INC $ 0.490000/SHARE ON 5000 SHARES Due 10/01/2015|10/1/15|2450.0||i
281|2450.0|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|10/1/15|-2450.0|-1.0|b
233||261908107|CASH RECEIPT INTEREST EARNED ON DREYFUS TREAS CASH MGMT INSTL SHARES $ -9999.000000/DOLLAR ON Due 09/30/2015|10/1/15|6.3||i
282|6.3|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|10/2/15|-6.3|-1.0|b
284|3000.0|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|10/9/15|-3000.0|-1.0|b
218||02209S103|CASH RECEIPT DIVIDEND EARNED ON ALTRIA GROUP INC $ 0.565000/SHARE ON 5000 SHARES Due 10/09/2015|10/9/15|2825.0||i
283|2825.0|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|10/9/15|-2825.0|-1.0|b
268||806857108|CASH RECEIPT DIVIDEND EARNED ON SCHLUMBERGER LTD $ 0.500000/SHARE ON 6000 SHARES Due 10/09/2015|10/9/15|3000.0||i
261||718172109|CASH RECEIPT DIVIDEND EARNED ON PHILIP MORRIS INTERNAT $ 1.020000/SHARE ON 3000 SHARES Due 10/14/2015|10/14/15|3060.0||i
285|3973.92|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|10/14/15|-3973.92|-1.0|b
252||609207105|CASH RECEIPT DIVIDEND EARNED ON MONDELEZ INTERNATIONAL $ 0.170000/SHARE ON 5376 SHARES Due 10/14/2015|10/14/15|913.92||i
286|660.0|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|10/15/15|-660.0|-1.0|b
242||278865100|CASH RECEIPT DIVIDEND EARNED ON ECOLAB INC $ 0.330000/SHARE ON 2000 SHARES Due 10/15/2015|10/15/15|660.0||i
280|1000.0|654106103|PURCHASED NIKE INC CLASS B 1,000 SHARES AT $125.56980064|10/19/15|-125649.8|-125.6498|b
333|-179600.38|261908107|SOLD DREYFUS TREAS CASH MGMT INSTL SHARES|10/19/15|179600.38|-1.0|s
279|700.0|03662Q105|PURCHASED ANSYS INC 700 SHARES AT $91.206|10/19/15|-63914.2|-91.306|b
331|-6505.0|60505104|SOLD BANK OF AMERICA CORP 6,505 SHARES AT $15.66500073|10/19/15|101573.71|-15.61471329746349|s
278|1300.0|00971T101|PURCHASED AKAMAI TECHNOLOGIES INC 1,300 SHARES AT $70.3693|10/19/15|-91610.09|-70.4693|b
287|1680.0|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|10/21/15|-1680.0|-1.0|b
228||17275R102|CASH RECEIPT DIVIDEND EARNED ON CISCO SYSTEMS INC $ 0.210000/SHARE ON 8000 SHARES Due 10/21/2015|10/21/15|1680.0||i
275|||CASH RECEIPT CLASS ACTION PROCEEDS NET OF EXPENSES|10/23/15|105.06||c
288|105.06|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|10/23/15|-105.06|-1.0|b
276|||FEE MARKET VALUE FEE COLLECTED|10/26/15|-6612.67||c
246||369604103|CASH RECEIPT DIVIDEND EARNED ON GENERAL ELECTRIC CO $ 0.230000/SHARE ON 13000 SHARES Due 10/26/2015|10/26/15|2990.0||i
334|-3622.67|261908107|SOLD DREYFUS TREAS CASH MGMT INSTL SHARES|10/26/15|3622.67|-1.0|s
289|4341.0|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|11/2/15|-4341.0|-1.0|b
223||110122108|CASH RECEIPT DIVIDEND EARNED ON BRISTOL-MYERS SQUIBB CO $ 0.370000/SHARE ON 5000 SHARES Due 11/02/2015|11/2/15|1850.0||i
212||00206R102|CASH RECEIPT DIVIDEND EARNED ON AT&T INC $ 0.470000/SHARE ON 5300 SHARES Due 11/02/2015|11/2/15|2491.0||i
234||261908107|CASH RECEIPT INTEREST EARNED ON DREYFUS TREAS CASH MGMT INSTL SHARES $ -9999.000000/DOLLAR ON Due 10/31/2015|11/2/15|6.04||i
290|6.04|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|11/3/15|-6.04|-1.0|b
291|3100.0|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|11/13/15|-3100.0|-1.0|b
250||571748102|CASH RECEIPT DIVIDEND EARNED ON MARSH & MCLENNAN COS INC $ 0.310000/SHARE ON 10000 SHARES Due 11/13/2015|11/13/15|3100.0||i
292|8327.4|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|11/16/15|-8327.4|-1.0|b
216||00287Y109|CASH RECEIPT DIVIDEND EARNED ON ABBVIE INC. $ 0.510000/SHARE ON 5000 SHARES Due 11/16/2015|11/16/15|2550.0||i
214||2824100|CASH RECEIPT DIVIDEND EARNED ON ABBOTT LABORATORIES $ 0.240000/SHARE ON 7500 SHARES Due 11/15/2015|11/16/15|1800.0||i
264||742718109|CASH RECEIPT DIVIDEND EARNED ON PROCTER & GAMBLE CO $ 0.662900/SHARE ON 6000 SHARES Due 11/16/2015|11/16/15|3977.4||i
293|6210.0|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|11/17/15|-6210.0|-1.0|b
332|-1080.0|163851108|SOLD CHEMOURS CO 1,080 SHARES AT $5.85009756|11/17/15|6210.0|-5.75|s
0|||CASH DISBURSEMENT PAID TO XXXXXXX|11/20/15|-420.0||c
335|-420.0|261908107|SOLD DREYFUS TREAS CASH MGMT INSTL SHARES|11/20/15|420.0|-1.0|s
39|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-1500.0||c
71|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-1500.0||c
72|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-700.0||c
73|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-1500.0||c
74|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-700.0||c
75|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-700.0||c
76|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-700.0||c
77|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-1500.0||c
78|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-700.0||c
79|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-700.0||c
80|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-700.0||c
81|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-700.0||c
82|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-700.0||c
83|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-700.0||c
84|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-1050.0||c
85|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-1050.0||c
86|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-1200.0||c
87|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-517.7||c
88|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-676.2||c
89|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-196.2||c
90|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-494.45||c
91|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-179.0||c
92|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-769.2||c
36|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-233.02||c
35|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-130.5||c
336|-40816.19|261908107|SOLD DREYFUS TREAS CASH MGMT INSTL SHARES|11/23/15|40816.19|-1.0|s
70|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-700.0||c
38|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-245.05||c
69|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-700.0||c
67|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-700.0||c
40|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-700.0||c
41|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-1500.0||c
42|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-700.0||c
43|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-1500.0||c
44|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-1500.0||c
45|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-700.0||c
46|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-1500.0||c
47|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-700.0||c
48|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-700.0||c
49|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-700.0||c
37|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-101.5||c
51|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-700.0||c
68|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-700.0||c
52|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-700.0||c
54|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-1050.0||c
66|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-126.88||c
65|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-232.0||c
64|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-221.13||c
63|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-239.25||c
53|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-700.0||c
61|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-179.0||c
62|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-126.88||c
59|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-597.13||c
58|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-261.2||c
57|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-586.2||c
56|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-276.2||c
55|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-1050.0||c
60|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-227.5||c
50|||CASH DISBURSEMENT PAID TO XXXXXXX|11/23/15|-700.0||c
93|||CASH DISBURSEMENT PAID TO XXXXXXX|11/24/15|-494.45||c
337|-494.45|261908107|SOLD DREYFUS TREAS CASH MGMT INSTL SHARES|11/24/15|494.45|-1.0|s
94|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|11/27/15|494.45||c
294|494.45|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|11/27/15|-494.45|-1.0|b
295|2424.0|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|11/30/15|-2424.0|-1.0|b
272||929740108|CASH RECEIPT DIVIDEND EARNED ON WABTEC CORP $ 0.080000/SHARE ON 2800 SHARES Due 11/30/2015|11/30/15|224.0||i
263||729251108|CASH RECEIPT DIVIDEND EARNED ON PLUM CREEK TIMBER CO INC $ 0.440000/SHARE ON 5000 SHARES Due 11/30/2015|11/30/15|2200.0||i
296|2940.0|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|12/1/15|-2940.0|-1.0|b
270||92826C839|CASH RECEIPT DIVIDEND EARNED ON VISA INC-CLASS A SHRS $ 0.140000/SHARE ON 3000 SHARES Due 12/01/2015|12/1/15|420.0||i
235||261908107|CASH RECEIPT INTEREST EARNED ON DREYFUS TREAS CASH MGMT INSTL SHARES $ -9999.000000/DOLLAR ON Due 11/30/2015|12/1/15|5.02||i
259||717081103|CASH RECEIPT DIVIDEND EARNED ON PFIZER INC $ 0.280000/SHARE ON 9000 SHARES Due 12/01/2015|12/1/15|2520.0||i
297|5.02|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|12/2/15|-5.02|-1.0|b
102|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-700.0||c
101|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-700.0||c
144|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-1050.0||c
143|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-700.0||c
139|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-700.0||c
141|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-700.0||c
140|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-700.0||c
146|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-276.2||c
138|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-700.0||c
142|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-700.0||c
147|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-586.2||c
100|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-700.0||c
149|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-597.13||c
150|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-179.0||c
151|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-769.2||c
137|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-700.0||c
99|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-700.0||c
98|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-126.88||c
97|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-233.02||c
96|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-130.5||c
